amount,description,date
5000.00,Grocery Shopping,2024-01-15
1500.00,Netflix Subscription,2024-01-10
2500.00,Restaurant Dinner,2024-01-12
3000.00,Movie Tickets,2024-01-08
800.00,Electricity Bill,2024-01-05
12000.00,Salary Deposit,2024-01-01
2000.00,Amazon Shopping,2024-01-14
3500.00,Hotel Booking,2024-01-20
4500.00,University Tuition,2024-01-03
1500.00,Doctor Visit,2024-01-18
6000.00,Savings Deposit,2024-01-25
1800.00,Grocery Shopping,2024-01-22
2200.00,Restaurant Lunch,2024-01-19
900.00,Spotify Premium,2024-01-11
1200.00,Petrol,2024-01-16

